,Field,Dataset,Product,Obj__Id,Moisture__,Yield
1,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,1,14,11.4586
2,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2,14,18.9405
3,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,3,14,27.2924
4,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,4,14,79.4917
5,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,5,14,51.1476
6,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,6,14,64.1914
7,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,7,14,85.5816
8,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,8,14,97.2395
9,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,9,14,165.901
10,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,10,14,83.1456
11,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,11,14,60.9986
12,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,12,12.2,39.3573
13,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,13,15.1,44.6663
14,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,14,17.6,44.1962
15,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,15,20.2,79.5375
16,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,16,23.5,94.3062
17,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,17,26.4,61.9352
18,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,18,28.9,43.1373
19,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,19,30.5,44.7726
20,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,20,31.8,61.9464
21,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,21,32.8,112.0504
