,Field,Dataset,Product,Obj__Id,Moisture__,Yld_Vol_Dr
1,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,1,14,67.2015
2,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,2,14,177.8459
3,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,3,14,166.0006
4,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,4,14,250.8801
5,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,5,14,243.0471
6,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,6,14,227.3289
7,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,7,13.2,266.6349
8,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,8,18.9,218.7518
9,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,9,24.1,150.8658
10,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,10,28.7,164.2895
11,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,11,31.3,173.8002
12,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,12,32.3,197.1977
13,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,13,32.8,156.9628
14,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,14,31.5,150.2189
15,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,15,28.8,169.4492
16,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,16,27.8,180.2041
17,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,17,29.2,175.4428
18,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,18,30.6,137.7573
19,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,19,30.7,172.4491
20,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,20,29.7,154.3397
21,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,21,29.6,168.9899
22,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,22,30.2,168.2714
23,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,23,31.4,175.5049
24,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,24,30.4,168.8977
25,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,25,29.4,185.6473
26,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,26,29.1,205.2765
27,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,27,29,183.0284
28,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,28,30.4,213.5949
29,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,29,30.2,203.1224
30,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,30,29,212.3445
31,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,31,28,204.5166
32,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,32,28.1,201.3179
33,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,33,27.5,211.2662
34,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,34,29.3,178.3175
35,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,35,29,189.1235
36,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,36,27.5,165.9659
37,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,37,28,160.4865
38,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,38,29.4,134.904
39,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,39,30.1,122.0295
40,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,40,29,139.5961
41,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,41,28.2,142.7991
42,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,42,28.2,149.1602
43,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,43,29.4,144.4959
44,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,44,27.7,168.7167
45,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,45,27.7,179.1948
46,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,46,27.3,217.0561
47,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,47,28.1,205.7878
48,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,48,30.1,200.1122
49,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,49,29.3,215.6433
50,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,50,28.2,197.7992
51,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,51,28,193.9589
52,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,52,28.3,174.4566
53,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,53,29.4,168.1093
54,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,54,29.9,172.1486
55,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,55,28.6,195.7627
56,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,56,29.1,173.11
57,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,57,28.8,191.0864
58,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,58,30.7,199.1421
59,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,59,31,192.9816
60,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,60,29.7,163.3082
61,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,61,28.8,166.4748
62,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,62,29.6,181.6194
63,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,63,31,157.673
64,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,64,31.2,171.0625
65,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,65,29.6,187.1793
66,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,66,30.3,173.5347
67,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,67,30.2,190.2033
68,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,68,31.5,172.8786
69,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,69,31.5,166.5942
70,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,70,30.3,159.7617
71,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,71,30.3,161.0641
72,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,72,30.8,156.2833
73,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,73,31.5,149.9357
74,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,74,30.5,151.7879
75,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,75,29.8,151.517
76,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,76,30.9,152.7486
77,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,77,32.2,145.8166
78,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,78,32.4,142.4782
79,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,79,30.6,145.3954
80,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,80,29.8,160.3636
81,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,81,31.1,170.8327
82,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,82,32.1,175.4369
83,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,83,31.2,179.5458
84,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,84,30.8,195.2896
85,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,85,30.6,205.4052
86,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,86,30.2,207.7111
87,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,87,30.9,218.0678
88,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,88,31.8,214.9163
89,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,89,30.1,240.9546
90,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,90,30.5,219.0362
91,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,91,30.3,231.5319
92,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,92,30.4,230.4519
93,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,93,29.4,221.4751
94,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,94,28.6,242.917
95,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,95,28.6,232.1857
96,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,96,29.2,255.8601
97,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,97,30.7,231.5528
98,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,98,30.7,231.5528
99,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,99,29.1,256.4554
100,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,100,28.3,236.2024
101,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,101,28.4,244.4272
102,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,102,28.4,220.7119
103,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,103,28.6,226.3403
104,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,104,28.1,219.5998
105,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,105,28.1,240.2619
106,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,106,27.9,250.5982
107,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,107,27.6,227.2035
108,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,108,27.1,239.8836
109,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,109,28.8,188.5764
110,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,110,29.6,173.7944
111,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,111,27.7,162.3576
112,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,112,27.3,137.1193
113,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,113,27.2,142.7452
114,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,114,28.4,112.5195
115,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,115,28.4,110.9419
116,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,116,27.7,100.14
117,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,117,28.2,80.7903
118,M4 F1 S2 25.11,25/10/23-16:26:07 (2012384061),CORN,118,29.5,45.566
