FarmName,FieldName,SampleID,SampleDate_CSNT,CSNT_ppm,
benson,KOLB2,Control,10/27/25,74,
benson,KOLB2,Treatment,10/27/25,57,
branton,302-3,1E,11/4/25,933,
branton,302-3,2E,11/4/25,62,
branton,302-3,3E,11/4/25,946,
branton,302-3,4E,11/4/25,158,
branton,302-3,5E,11/4/25,1792,
branton,302-3,6E,11/4/25,1322,
branton,302-3,7E,11/4/25,662,
branton,302-3,8E,11/4/25,70,
branton,302-3,9E,11/4/25,425,
branton,302-3,10E,11/4/25,58,
branton,302-3,1W,11/4/25,68,
branton,302-3,2W,11/4/25,69,
branton,302-3,3W,11/4/25,585,
branton,302-3,4W,11/4/25,549,
branton,302-3,5W,11/4/25,94,
branton,302-3,6W,11/4/25,341,
branton,302-3,7W,11/4/25,71,
branton,302-3,8W,11/4/25,75,
branton,302-3,9W,11/4/25,211,
branton,302-3,10W,11/4/25,136,
CURC,16,Control,9/17/25,1457,
CURC,16,Treatment,9/17/25,818,
macauley,NTRIALS,1E,11/7/25,2394,mac_BLK4_3
macauley,NTRIALS,2E,11/7/25,4773,mac_BLK4_2
macauley,NTRIALS,3E,11/7/25,4785,mac_BLK4_4
macauley,NTRIALS,4E,11/7/25,764,mac_BLK1_1
macauley,NTRIALS,5E,11/7/25,79,mac_BLK3_3
macauley,NTRIALS,6E,11/7/25,1696,mac_BLK3_2
macauley,NTRIALS,7E,11/7/25,6172,mac_BLK3_4
macauley,NTRIALS,8E,11/7/25,9565,mac_BLK3_1
macauley,NTRIALS,9E,11/7/25,3969,mac_BLK2_3
macauley,NTRIALS,10E,11/7/25,6039,mac_BLK2_2
macauley,NTRIALS,11E,11/7/25,4655,mac_BLK2_4
macauley,NTRIALS,12E,11/7/25,944,mac_BLK2_1
macauley,NTRIALS,13E,11/7/25,11349,mac_BLK1_3
macauley,NTRIALS,14E,11/7/25,7102,mac_BLK1_2
macauley,NTRIALS,15E,11/7/25,556,mac_BLK1_4
macauley,NTRIALS,16E,11/7/25,6410,mac_BLK1_3
macauley,NTRIALS,1W,11/7/25,373,mac_BLK4_3
macauley,NTRIALS,2W,11/7/25,4557,mac_BLK4_2
macauley,NTRIALS,3W,11/7/25,6353,mac_BLK4_4
macauley,NTRIALS,4W,11/7/25,5183,mac_BLK1_1
macauley,NTRIALS,5W,11/7/25,203,mac_BLK3_3
macauley,NTRIALS,6W,11/7/25,105,mac_BLK3_2
macauley,NTRIALS,7W,11/7/25,1425,mac_BLK3_4
macauley,NTRIALS,8W,11/7/25,5196,mac_BLK3_1
macauley,NTRIALS,9W,11/7/25,5673,mac_BLK2_3
macauley,NTRIALS,10W,11/7/25,9598,mac_BLK2_2
macauley,NTRIALS,11W,11/7/25,8105,mac_BLK2_4
macauley,NTRIALS,12W,11/7/25,1284,mac_BLK2_1
macauley,NTRIALS,13W,11/7/25,10187,mac_BLK1_3
macauley,NTRIALS,14W,11/7/25,7939,mac_BLK1_2
macauley,NTRIALS,15W,11/7/25,3311,mac_BLK1_4
macauley,NTRIALS,16W,11/7/25,9759,mac_BLK1_3
porter,G7,Control,10/27/25,661,
porter,G7,Treatment,10/27/25,771,
villnave,3,Control,9/10/25,79,
villnave,3,Treatment,9/10/25,938,
