"","Strip","Yield","strip_id","NRate"
"1","R0",102.9664,"R0","Variable"
"2","R0",95.1554,"R0","Variable"
"3","R0",93.9789,"R0","Variable"
"4","R0",102.5261,"R0","Variable"
"5","R0",93.4867,"R0","Variable"
"6","R0",63.1744,"R0","Variable"
"7","R0",42.4298,"R0","Variable"
"8","R0",32.8619,"R0","Variable"
"9","R0",27.6268,"R0","Variable"
"10","R0",41.7223,"R0","Variable"
"11","R0",39.441,"R0","Variable"
"12","R0",47.8022,"R0","Variable"
"13","R0",50.2426,"R0","Variable"
"14","R0",53.0332,"R0","Variable"
"15","R0",105.3352,"R0","Variable"
"16","R0",122.9691,"R0","Variable"
"17","R0",127.9595,"R0","Variable"
"18","R0",113.1466,"R0","Variable"
"19","R0",128.4074,"R0","Variable"
"20","R0",73.903,"R0","Variable"
"21","R0",45.4288,"R0","Variable"
"22","R0",31.8064,"R0","Variable"
"23","R0",43.5815,"R0","Variable"
"24","R0",46.1412,"R0","Variable"
"25","R0",64.7503,"R0","Variable"
"26","R0",66.912,"R0","Variable"
"27","R0",79.2162,"R0","Variable"
"28","R0",97.5271,"R0","Variable"
"29","R0",111.3234,"R0","Variable"
"30","R0",134.0815,"R0","Variable"
"31","R0",93.2138,"R0","Variable"
"32","R0",115.9849,"R0","Variable"
"33","R0",115.5263,"R0","Variable"
"34","R0",92.9433,"R0","Variable"
"35","R0",93.178,"R0","Variable"
"36","R0",109.4977,"R0","Variable"
"37","R0",99.0581,"R0","Variable"
"38","R0",107.3052,"R0","Variable"
"39","R0",68.7336,"R0","Variable"
"40","R0",74.142,"R0","Variable"
"41","R0",57.0439,"R0","Variable"
"42","R0",56.8356,"R0","Variable"
"43","R0",62.3545,"R0","Variable"
"44","R0",51.9776,"R0","Variable"
"45","R0",56.6377,"R0","Variable"
"46","R0",50.3855,"R0","Variable"
"47","R0",48.629,"R0","Variable"
"48","R0",51.8966,"R0","Variable"
"49","R0",41.3602,"R0","Variable"
"50","R0",44.6369,"R0","Variable"
"51","R0",50.1482,"R0","Variable"
"52","R0",58.8297,"R0","Variable"
"53","R0",72.5767,"R0","Variable"
"54","R0",79.3058,"R0","Variable"
"55","R0",109.9064,"R0","Variable"
"56","R0",91.5295,"R0","Variable"
"57","R0",93.8069,"R0","Variable"
"58","R0",128.6954,"R0","Variable"
"59","R0",123.0557,"R0","Variable"
"60","R0",147.3791,"R0","Variable"
"61","R0",160.064,"R0","Variable"
"62","R0",163.4781,"R0","Variable"
"63","R0",186.5751,"R0","Variable"
"64","R0",194.2074,"R0","Variable"
"65","R0",214.2778,"R0","Variable"
"66","R0",197.3317,"R0","Variable"
"67","R0",171.6179,"R0","Variable"
"68","R0",181.9052,"R0","Variable"
"69","R0",153.026,"R0","Variable"
"70","R0",164.2079,"R0","Variable"
"71","R0",152.4968,"R0","Variable"
"72","R0",136.2332,"R0","Variable"
"73","R0",123.6676,"R0","Variable"
"74","R0",135.0177,"R0","Variable"
"75","R0",133.6381,"R0","Variable"
"76","R0",130.1584,"R0","Variable"
"77","R0",157.8275,"R0","Variable"
"78","R0",179.6044,"R0","Variable"
"79","R0",171.1744,"R0","Variable"
"80","R0",183.3049,"R0","Variable"
"81","R0",197.69,"R0","Variable"
"82","R0",156.2041,"R0","Variable"
"83","R0",110.7727,"R0","Variable"
"84","R0",121.3385,"R0","Variable"
"85","R0",140.4227,"R0","Variable"
"86","R0",139.6281,"R0","Variable"
"87","R0",169.5979,"R0","Variable"
"88","R0",175.7957,"R0","Variable"
"89","R0",202.0773,"R0","Variable"
"90","R0",190.1954,"R0","Variable"
"91","R0",180.2711,"R0","Variable"
"92","R0",114.0353,"R0","Variable"
"93","R0",101.1102,"R0","Variable"
"94","R0",86.7374,"R0","Variable"
"95","R0",100.3965,"R0","Variable"
"96","R0",120.9073,"R0","Variable"
"97","R0",126.421,"R0","Variable"
"98","R0",117.8568,"R0","Variable"
"99","R0",153.0636,"R0","Variable"
"100","R0",176.788,"R0","Variable"
"101","R0",177.1505,"R0","Variable"
"102","R0",182.3125,"R0","Variable"
"103","R0",191.1215,"R0","Variable"
"104","R0",185.8269,"R0","Variable"
"105","R0",182.3639,"R0","Variable"
"106","R0",171.3299,"R0","Variable"
"107","R0",167.416,"R0","Variable"
"108","R0",161.0244,"R0","Variable"
"109","R0",170.4554,"R0","Variable"
"110","R0",179.724,"R0","Variable"
