FarmName,FieldName,CropType,PlotName,Yield_buAc,GrainMoisture_pct,
Macauley,Ntrials,MaizeGrain,1,146.6,20,
Macauley,Ntrials,MaizeGrain,2,147.8,20,
Macauley,Ntrials,MaizeGrain,3,138.5,20,
Macauley,Ntrials,MaizeGrain,4,150.7,20,
Macauley,Ntrials,MaizeGrain,5,163.6,20,
Macauley,Ntrials,MaizeGrain,6,163,20,
Macauley,Ntrials,MaizeGrain,7,169,20,
Macauley,Ntrials,MaizeGrain,8,174.2,20,
Macauley,Ntrials,MaizeGrain,9,165.2,21,
Macauley,Ntrials,MaizeGrain,10,181.3,22,
Macauley,Ntrials,MaizeGrain,11,183.2,22,
Macauley,Ntrials,MaizeGrain,12,143.7,22,
Macauley,Ntrials,MaizeGrain,13,139.6,22,
Macauley,Ntrials,MaizeGrain,14,167.7,22,
Macauley,Ntrials,MaizeGrain,15,180,22,
Macauley,Ntrials,MaizeGrain,16,185.4,22,
Macauley,Ntrials,MaizeGrain,17,156.9,22,
Corcoran,Ntrial,MaizeGrain,T0,204,,
Corcoran,Ntrial,MaizeGrain,T1,185,,
Corcoran,Ntrial,MaizeGrain,T2,178,,
Corcoran,Ntrial,MaizeGrain,T3,180,,
Porter,G7,MaizeGrain,Field,107.9,22,
Benson,Kolb2,MaizeGrain,WithClover,138,22,
Benson,Kolb2,MaizeGrain,NoClover,122,21.5,
,,,,,,
,,,,,, 
