FarmName,FieldName,PlotName,Nrate_lbAc,
,,,,
branton,302-3,R0,variable,
branton,302-3,R1,variable,
branton,302-3,R2,37,
branton,302-3,R3,25,
branton,302-3,R4,62,
branton,302-3,R5,50,
branton,302-3,R6,variable,
branton,302-3,R7,37,
branton,302-3,R8,25,
branton,302-3,R9,variable,
,,,,
macauley,Ntrials,mac_BLK4_3,150,High
macauley,Ntrials,mac_BLK4_2,90,Farmer
macauley,Ntrials,mac_BLK4_4,0,Zero
macauley,Ntrials,mac_BLK1_1,30,Low
macauley,Ntrials,mac_BLK3_3,90,Farmer
macauley,Ntrials,mac_BLK3_2,0,Zero
macauley,Ntrials,mac_BLK3_4,30,Low
macauley,Ntrials,mac_BLK3_1,150,High
macauley,Ntrials,mac_BLK2_3,30,Low
macauley,Ntrials,mac_BLK2_2,150,High
macauley,Ntrials,mac_BLK2_4,90,Farmer
macauley,Ntrials,mac_BLK2_1,0,Zero
macauley,Ntrials,mac_BLK1_3,0,Zero
macauley,Ntrials,mac_BLK1_2,30,Low
macauley,Ntrials,mac_BLK1_4,150,High
macauley,Ntrials,mac_BLK1_3,90,Farmer
,,,,
corcoran,Ntrial,T0,60,
corcoran,Ntrial,T1,60,
corcoran,Ntrial,T2,50,
corcoran,Ntrial,T3,40,
,,,,
benson,Kolb2,Field,74.5,
,,,,
gruschow,North,Field,163,
gruschow,South,Field,163,
,,,,
villnave,3,Field,57,
