Field,CSNT_ppm,SampleID,Treatment
macauley,2394,mac_BLK4_3,High
macauley,4773,mac_BLK4_2,Farmer
macauley,4785,mac_BLK4_4,Zero
macauley,764,mac_BLK4_1,Low
macauley,79,mac_BLK3_3,Farmer
macauley,1696,mac_BLK3_2,Zero
macauley,6172,mac_BLK3_4,Low
macauley,9565,mac_BLK3_1,High
macauley,3969,mac_BLK2_3,Low
macauley,6039,mac_BLK2_2,High
macauley,4655,mac_BLK2_4,Farmer
macauley,944,mac_BLK2_1,Zero
macauley,11349,mac_BLK1_3,Zero
macauley,7102,mac_BLK1_2,Low
macauley,556,mac_BLK1_4,High
macauley,6410,mac_BLK1_1,Farmer
macauley,373,mac_BLK4_3,High
macauley,4557,mac_BLK4_2,Farmer
macauley,6353,mac_BLK4_4,Zero
macauley,5183,mac_BLK4_1,Low
macauley,203,mac_BLK3_3,Farmer
macauley,105,mac_BLK3_2,Zero
macauley,1425,mac_BLK3_4,Low
macauley,5196,mac_BLK3_1,High
macauley,5673,mac_BLK2_3,Low
macauley,9598,mac_BLK2_2,High
macauley,8105,mac_BLK2_4,Farmer
macauley,1284,mac_BLK2_1,Zero
macauley,10187,mac_BLK1_3,Zero
macauley,7939,mac_BLK1_2,Low
macauley,3311,mac_BLK1_4,High
macauley,9759,mac_BLK1_1,Farmer
