FarmName,CropType,PlotName,Yield_buAc,GrainMoisture_pct
,,,,
macauley,MaizeGrain,mac_BLK4_3,146.6,20
macauley,MaizeGrain,mac_BLK4_2,147.8,20
macauley,MaizeGrain,mac_BLK4_4,138.5,20
macauley,MaizeGrain,mac_BLK4_1,150.7,20
macauley,MaizeGrain,mac_BLK3_3,163.6,20
macauley,MaizeGrain,mac_BLK3_2,163,20
macauley,MaizeGrain,mac_BLK3_4,169,20
macauley,MaizeGrain,mac_BLK3_1,174.2,20
macauley,MaizeGrain,mac_BLK2_3,165.2,21
macauley,MaizeGrain,mac_BLK2_2,181.3,22
macauley,MaizeGrain,mac_BLK2_4,183.2,22
macauley,MaizeGrain,mac_BLK2_1,143.7,22
macauley,MaizeGrain,mac_BLK1_3,139.6,22
macauley,MaizeGrain,mac_BLK1_2,167.7,22
macauley,MaizeGrain,mac_BLK1_4,180,22
macauley,MaizeGrain,mac_BLK1_1,185.4,22
