FarmName,FieldName,PlotName,Nrate_lbAc
,,,
branton,302-3,R0,variable
branton,302-3,R1,variable
branton,302-3,R2,37
branton,302-3,R3,25
branton,302-3,R4,62
branton,302-3,R5,50
branton,302-3,R6,variable
branton,302-3,R7,37
branton,302-3,R8,25
branton,302-3,R9,variable
,,,
macauley,Ntrials,1,150
macauley,Ntrials,2,90
macauley,Ntrials,3,0
macauley,Ntrials,4,30
macauley,Ntrials,5,90
macauley,Ntrials,6,0
macauley,Ntrials,7,30
macauley,Ntrials,8,150
macauley,Ntrials,9,30
macauley,Ntrials,10,150
macauley,Ntrials,11,90
macauley,Ntrials,12,0
macauley,Ntrials,13,0
macauley,Ntrials,14,30
macauley,Ntrials,15,150
macauley,Ntrials,16,90
,,,
corcoran,Ntrial,T0,60
corcoran,Ntrial,T1,60
corcoran,Ntrial,T2,50
corcoran,Ntrial,T3,40
,,,
benson,Kolb2,Field,74.5
,,,
gruschow,North,Field,163
gruschow,South,Field,163
,,,
villnave,3,Field,57
