date,field,treatment,group,meas,leaf,chl,flav,anth,nbi
2025-07-21,porter,Control,1,262,leaf1,33.125,0.464,0.321,71.39
2025-07-21,porter,Control,1,263,leaf2,12.284,1.171,0.232,10.49
2025-07-21,porter,Control,1,264,leaf1,40.743,0.385,0.248,105.85
2025-07-21,porter,Control,1,265,leaf2,46.435,1.336,0.32,34.75
2025-07-21,porter,Control,1,266,leaf1,34.628,0.366,0.529,94.5
2025-07-21,porter,Control,1,267,leaf2,45.807,0.613,0.215,74.75
2025-07-21,porter,Control,1,338,leaf1,38.273,0.336,0.366,114.06
2025-07-21,porter,Control,1,339,leaf2,49.053,0.759,0.321,64.63
2025-07-21,porter,Control,1,269,leaf2,22.459,NA,0,NA
2025-07-21,porter,Control,1,268,leaf1,37.106,NA,NA,NA
2025-07-21,porter,Control,1,132,leaf1,32.092,0.557,0.312,57.63
2025-07-21,porter,Control,1,133,leaf2,43.595,1.151,0.279,37.86
2025-07-21,porter,Control,1,134,leaf1,36.46,0.612,0.379,59.57
2025-07-21,porter,Control,1,135,leaf2,34.7,1.4,0.29,24.78
2025-07-21,porter,Control,1,152,leaf1,42.812,0.379,0.393,112.92
2025-07-21,porter,Control,1,153,leaf2,29.515,0.96,0.208,30.74
2025-07-21,porter,Control,1,154,leaf1,27.804,0.328,0.373,84.8
2025-07-21,porter,Control,1,155,leaf2,39.208,NA,0,NA
2025-07-21,porter,Control,1,156,leaf1,31.303,0.225,0.456,139.3
2025-07-21,porter,Control,1,157,leaf2,41.439,1.319,0.271,31.41
2025-07-21,porter,Control,1,158,leaf1,39.988,0.862,0.336,46.39
2025-07-21,porter,Control,1,159,leaf2,40.778,1.055,0.313,38.64
2025-07-21,porter,Control,1,150,leaf1,35.542,0.397,0.429,89.57
2025-07-21,porter,Control,1,151,leaf2,48.048,0.82,0.284,58.61
2025-07-21,porter,Control,1,148,leaf1,33.575,0.397,0.373,84.51
2025-07-21,porter,Control,1,149,leaf2,44.506,0.944,0.304,47.15
2025-07-21,porter,Control,1,136,leaf1,38.597,0.482,0,80.16
2025-07-21,porter,Control,1,137,leaf2,46.821,1.155,0.342,40.53
2025-07-21,porter,Control,1,138,leaf1,30.909,0.355,0.331,87.19
2025-07-21,porter,Control,1,139,leaf2,43.96,1.25,0.279,35.18
2025-07-21,porter,Control,1,160,leaf1,27.114,0.546,0.154,49.67
2025-07-21,porter,Control,1,161,leaf2,27.374,NA,0.11,NA
2025-07-21,porter,Control,1,140,leaf1,45.749,0.638,0.333,71.67
2025-07-21,porter,Control,1,141,leaf2,51.187,0.627,0.317,81.58
2025-07-21,porter,Control,1,146,leaf1,35.961,0.663,NA,54.24
2025-07-21,porter,Control,1,147,leaf2,46.586,0.487,0.299,95.74
2025-07-21,porter,Control,1,208,leaf1,37.203,0.295,0.394,126.17
2025-07-21,porter,Control,1,209,leaf2,22.498,0.498,0.23,45.13
2025-07-21,porter,Control,1,206,leaf1,33.056,0.371,0.348,88.98
2025-07-21,porter,Control,1,207,leaf2,41.663,1.206,0.343,34.55
2025-07-21,porter,Control,1,204,leaf1,33.717,0.291,0.383,115.99
2025-07-21,porter,Control,1,205,leaf2,43.153,1.49,0.313,28.96
2025-07-21,porter,Control,1,202,leaf1,8.222,0.851,0.042,9.67
2025-07-21,porter,Control,1,203,leaf2,17.428,NA,NA,NA
2025-07-21,porter,Control,1,200,leaf1,34.163,0.228,0.371,149.91
2025-07-21,porter,Control,1,201,leaf2,5.909,0.682,0.061,8.66
2025-07-21,porter,Control,1,198,leaf1,24.776,0.621,0.243,39.89
2025-07-21,porter,Control,1,199,leaf2,14.9,0.831,0.147,17.93
2025-07-21,porter,Control,1,196,leaf1,47.048,0.373,0.4,126.01
2025-07-21,porter,Control,1,197,leaf2,43.317,1.345,0.316,32.22
2025-07-21,porter,Control,1,184,leaf1,39.443,0.513,0.37,76.93
2025-07-21,porter,Control,1,185,leaf2,49.388,0.654,0.323,75.52
2025-07-21,porter,Control,1,182,leaf1,32.987,0.305,0.252,107.98
2025-07-21,porter,Control,1,183,leaf2,40.918,0.844,0.37,48.49
2025-07-21,porter,Control,1,194,leaf1,40.285,0.41,0.34,98.31
2025-07-21,porter,Control,1,195,leaf2,44.833,0.983,0.337,45.61
2025-07-21,porter,Control,1,186,leaf1,34.358,0.338,0.391,101.56
2025-07-21,porter,Control,1,187,leaf2,48.864,0.754,0.262,64.81
2025-07-21,porter,Control,1,192,leaf1,42.344,0.353,0.355,119.98
2025-07-21,porter,Control,1,193,leaf2,16.358,0.901,0.211,18.15
2025-07-21,porter,Control,1,190,leaf1,40.417,0.336,0.336,120.44
2025-07-21,porter,Control,1,191,leaf2,36.612,1.392,0.271,26.3
2025-07-21,porter,Control,1,188,leaf1,22.345,0.518,0.361,43.17
2025-07-21,porter,Control,1,189,leaf2,39.226,0.536,0.336,73.19
2025-07-21,porter,Control,1,210,leaf1,45.132,0.825,0.314,54.73
2025-07-21,porter,Control,1,211,leaf2,46.999,0.918,0.31,51.2
2025-07-21,porter,Control,1,212,leaf1,36.236,0.451,0.414,80.31
2025-07-21,porter,Control,1,213,leaf2,49.718,0.711,0.28,69.96
2025-07-21,porter,Control,1,214,leaf1,46.256,0.33,1.379,140.22
2025-07-21,porter,Control,1,215,leaf2,40.825,1.029,0.209,39.68
2025-07-21,porter,Control,1,180,leaf1,33.541,0.394,0.397,85.08
2025-07-21,porter,Control,1,181,leaf2,55.375,0.795,0.304,69.69
2025-07-21,porter,Control,1,178,leaf1,43.366,0.698,0.299,62.15
2025-07-21,porter,Control,1,179,leaf2,35.01,1.501,0.325,23.32
2025-07-21,porter,Control,1,142,leaf1,42.112,0.482,0.349,87.32
2025-07-21,porter,Control,1,143,leaf2,39.428,1.12,0.34,35.2
2025-07-21,porter,Control,1,176,leaf1,19.153,0.954,0.306,20.08
2025-07-21,porter,Control,1,177,leaf2,18.661,1.47,0.463,12.7
2025-07-21,porter,Control,1,144,leaf1,34.755,0.446,0.394,77.93
2025-07-21,porter,Control,1,145,leaf2,54.37,0.782,0.299,69.56
2025-07-21,porter,Control,1,174,leaf1,36.316,0.585,0.364,62.07
2025-07-21,porter,Control,1,175,leaf2,42.266,0.927,0.292,45.59
2025-07-21,porter,Control,1,162,leaf1,38.703,NA,0.126,NA
2025-07-21,porter,Control,1,163,leaf2,48.821,0.741,0.305,65.89
2025-07-21,porter,Control,1,172,leaf1,32.244,0.309,0.36,104.26
2025-07-21,porter,Control,1,173,leaf2,48.492,0.823,0.313,58.94
2025-07-21,porter,Control,1,164,leaf1,39.971,0.963,0.346,41.51
2025-07-21,porter,Control,1,165,leaf2,47.815,0.926,0.332,51.62
2025-07-21,porter,Control,1,170,leaf1,29.87,0.305,0.396,98.07
2025-07-21,porter,Control,1,171,leaf2,45.694,1.031,0.315,44.31
2025-07-21,porter,Control,1,166,leaf1,31.863,NA,0,NA
2025-07-21,porter,Control,1,167,leaf2,11.409,0.911,0,12.52
2025-07-21,porter,Control,1,168,leaf1,37.896,0.431,0.375,87.98
2025-07-21,porter,Control,1,169,leaf2,52.71,0.734,0.308,71.85
2025-07-21,porter,Control,1,222,leaf1,39.282,0.396,0.36,99.17
2025-07-21,porter,Control,1,223,leaf2,48.118,0.769,0.373,62.54
2025-07-21,porter,Control,1,220,leaf1,28.539,0.33,0.378,86.38
2025-07-21,porter,Control,1,221,leaf2,49.594,0.621,0.305,79.87
2025-07-21,porter,Control,1,218,leaf1,38.143,0.833,0.372,45.81
2025-07-21,porter,Control,1,219,leaf2,40.695,1.563,NA,26.04
2025-07-21,porter,Control,1,224,leaf1,35.593,0.354,0.37,100.46
2025-07-21,porter,Control,1,225,leaf2,40.154,0.986,0.276,40.74
2025-07-21,porter,Control,1,236,leaf1,31.743,0.398,0.377,79.76
2025-07-21,porter,Control,1,237,leaf2,51.893,0.69,0.304,75.26
2025-07-21,porter,Control,1,238,leaf1,39.904,0.725,0.337,55.07
2025-07-21,porter,Control,1,239,leaf2,39.857,1.012,0.231,39.39
2025-07-21,porter,Control,1,234,leaf1,44.522,0.499,0.369,89.28
2025-07-21,porter,Control,1,235,leaf2,48.631,1.075,0.293,45.23
2025-07-21,porter,Control,1,240,leaf1,37.468,0.355,0.354,105.4
2025-07-21,porter,Control,1,241,leaf2,62.689,0.734,0.233,85.41
2025-07-21,porter,Control,1,216,leaf1,20.647,1.141,0.375,18.1
2025-07-21,porter,Control,1,217,leaf2,23.648,1.158,0.087,20.42
2025-07-21,porter,Control,1,226,leaf1,38.96,0.487,0.35,79.95
2025-07-21,porter,Control,1,227,leaf2,47.079,1.129,0.314,41.72
2025-07-21,porter,Control,1,232,leaf1,30.575,0.539,0.383,56.69
2025-07-21,porter,Control,1,233,leaf2,45.433,1.365,0.31,33.28
2025-07-21,porter,Control,1,230,leaf1,9.354,0.46,0,20.35
2025-07-21,porter,Control,1,231,leaf2,44.507,0.979,0.308,45.46
2025-07-21,porter,Control,1,228,leaf1,34.556,0.826,0.069,41.82
