,Yield,Treatment
1,179.4874725,Mow
2,166.7342834,Mow
3,161.7669373,Mow
4,158.8875427,Mow
5,188.594574,Mow
6,205.0560303,Mow
7,194.9645996,Mow
8,202.6186218,Mow
9,187.8971558,Mow
10,154.7506866,Mow
11,132.2033081,Mow
12,145.0395508,Mow
13,153.9220581,Mow
14,194.5099792,Mow
15,194.2922363,Mow
16,138.911438,Mow
17,143.7680817,Mow
18,143.7680817,Mow
19,142.8338318,Mow
20,158.4448242,Mow
21,144.4246368,Mow
22,159.9447479,Mow
23,140.7702332,Mow
24,105.7485046,Mow
25,87.75180817,Mow
26,95.27050781,Mow
27,107.1976852,Mow
28,98.3136673,Mow
29,111.2504578,Mow
30,108.9219513,Mow
31,122.1175385,Mow
32,131.0441895,Mow
33,116.6554413,Mow
34,104.2265778,Mow
35,104.2265778,Mow
36,100.0403442,Mow
37,106.8874283,Mow
38,132.1121216,Mow
39,118.6989594,Mow
40,100.8899994,Mow
41,116.7328644,Mow
42,123.2732849,Mow
43,98.50509644,Mow
44,87.42208862,Mow
45,89.9246521,Mow
46,85.38552856,Mow
47,90.47375488,Mow
48,73.39741516,Mow
49,76.19804382,Mow
50,84.39485931,Mow
51,96.51773071,Mow
52,119.203186,Mow
53,101.4064713,Mow
54,100.9535446,Mow
55,113.007019,Mow
56,121.5768814,Mow
57,100.4111481,Mow
58,123.685257,Mow
59,91.83985138,Mow
60,103.1195984,Mow
61,103.1195984,Mow
62,134.4925537,Mow
63,138.7177277,Mow
64,135.7369537,Mow
65,92.93704224,Mow
66,109.9309387,Mow
67,103.443512,Mow
68,108.5998459,Mow
69,114.2299728,Mow
70,147.6183929,Mow
71,157.1182861,Mow
72,166.3470917,Mow
73,132.6308899,Mow
74,94.74639893,Mow
75,92.72293854,Mow
76,122.582695,Mow
77,97.33476257,Mow
78,126.6074219,Mow
79,94.40768433,Mow
80,117.9588318,Mow
81,125.4454422,Mow
82,135.478302,Mow
83,93.98104858,Mow
84,102.3822098,Mow
85,99.15686035,Mow
86,120.7401581,Mow
87,130.2272644,Mow
88,82.61564636,Mow
89,75.76449585,Mow
90,104.2469711,Mow
91,111.8717804,Mow
92,130.7129822,Mow
93,120.4878693,Mow
94,117.9825439,Mow
95,94.66081238,Mow
96,120.7942352,Mow
97,98.00813293,Mow
98,67.4237442,Mow
99,76.76019287,Mow
100,67.4237442,Mow
101,83.48468018,Mow
102,69.82939148,Mow
103,90.54768372,Mow
104,88.77363586,Mow
105,89.2230072,Mow
106,81.20671082,Mow
107,67.4237442,Mow
108,67.4237442,Mow
109,89.11598206,Mow
110,88.19096375,Mow
111,94.69911194,Mow
112,67.4237442,Mow
113,68.07446289,Mow
114,69.06689453,Mow
115,75.58999634,Mow
116,73.29605103,Mow
117,78.99981689,Mow
118,107.7537079,Mow
119,97.61453247,Mow
120,95.7721405,Mow
121,67.4237442,Mow
122,73.88275909,Mow
123,67.4237442,Mow
124,72.8216095,Mow
125,113.1590042,Mow
126,136.4748077,Mow
127,139.5262451,Mow
128,108.0386353,Mow
129,85.87194824,Mow
130,112.065155,Mow
131,102.0748596,Mow
132,88.47379303,Mow
133,108.989975,Mow
134,103.1852798,Mow
135,84.82437134,Mow
136,67.4237442,Mow
137,67.4237442,Mow
138,67.4237442,Mow
139,67.4237442,Mow
140,67.4237442,Mow
141,67.4237442,Mow
142,72.9407959,Mow
143,89.63989258,Mow
144,90.81576538,Mow
145,67.4237442,Mow
146,67.4237442,Mow
147,67.4237442,Mow
148,99.83892822,Mow
149,88.97460938,Mow
150,75.1625061,Mow
151,74.07781219,Mow
152,67.4237442,Mow
153,77.56071472,Mow
154,67.4237442,Mow
155,85.5163269,Mow
156,67.4237442,Mow
157,89.36483765,Mow
158,93.40357971,Mow
159,109.1342163,Mow
160,118.7155838,Mow
161,98.79886627,Mow
162,78.66062164,Mow
163,81.42900085,Mow
164,84.00212097,Mow
165,75.74978638,Mow
166,87.16752625,Mow
167,88.39929199,Mow
168,81.54815674,Mow
169,79.1528244,Mow
170,96.75520325,Mow
171,85.10713959,Mow
172,94.40246582,Mow
173,113.731041,Mow
174,139.238205,Mow
175,113.1240387,Mow
176,69.34545898,Mow
177,67.4237442,Mow
178,67.4237442,Mow
179,67.4237442,Mow
180,67.4237442,Mow
181,67.4237442,Mow
182,79.6200943,Mow
183,97.83618164,Mow
184,97.83618164,Mow
185,78.32847595,Mow
186,71.9140625,Mow
187,69.7335434,Mow
188,67.4237442,Mow
189,67.4237442,Mow
190,67.4237442,Mow
191,67.4237442,Mow
192,67.4237442,Mow
193,67.4237442,Mow
194,67.4237442,Mow
195,67.4237442,Mow
196,67.4237442,Mow
197,73.75289154,Mow
198,67.4237442,Mow
199,67.4237442,Mow
200,70.10356903,Mow
201,67.4237442,Mow
202,91.56926727,Mow
203,67.4237442,Mow
204,67.4237442,Mow
205,71.19356537,Mow
206,72.44789124,Mow
207,91.28808594,Mow
208,100.8596191,Mow
209,95.68782043,Mow
210,95.68782043,Mow
211,103.3853455,Mow
212,113.5331955,Mow
213,107.9747162,Mow
214,122.0320511,Mow
215,104.3390198,Mow
216,106.8744507,Mow
217,109.2558975,Mow
218,110.6843109,Mow
219,97.25901794,Mow
220,138.0835419,Mow
221,124.021019,Mow
222,136.2481079,Mow
223,163.128418,Mow
224,131.1424408,Mow
225,124.6947098,Mow
226,144.961792,Mow
227,134.3888397,Mow
228,136.3351288,Mow
229,162.3201294,Mow
230,162.002594,Mow
231,144.5054932,Mow
232,150.3967285,Mow
233,160.770813,Mow
234,158.1800537,Mow
235,173.970459,Mow
236,184.3291626,Mow
237,181.7281799,Mow
238,170.7649841,Mow
239,157.7546387,Mow
240,157.2536011,Mow
241,166.8975525,Mow
242,173.0087585,Mow
243,184.4259644,Mow
244,174.205719,Mow
245,162.2937927,Mow
246,164.4711609,Mow
247,150.5543213,Mow
248,146.4099579,Mow
249,142.8152161,Mow
250,140.3293762,Mow
251,138.9043579,Mow
252,144.7061462,Mow
253,140.6231995,Mow
254,140.6231995,Mow
255,136.8554382,Mow
256,131.9213562,Mow
257,141.1376343,Mow
258,156.1201782,Mow
259,172.8900146,Mow
260,144.6770935,Mow
261,130.4158936,Mow
262,129.8236694,Mow
263,150.0648804,Mow
264,124.0997467,Mow
265,76.70767975,Mow
266,74.27410889,Mow
267,81.91921997,Mow
268,109.1201553,Mow
269,67.4237442,Mow
270,67.4237442,Mow
271,67.4237442,Mow
272,67.4237442,Mow
273,67.4237442,Mow
274,92.45291901,Mow
275,67.4237442,Mow
276,67.4237442,Mow
277,75.04192352,Mow
278,80.79277802,Mow
279,87.35441589,Mow
280,70.48950195,Mow
281,67.4237442,Mow
282,89.8011322,Mow
283,109.074028,Mow
284,157.5232239,Mow
285,145.7240295,Mow
286,134.1162567,Mow
287,128.675415,Mow
288,104.2975159,Mow
289,118.821167,Mow
290,100.9204559,Mow
291,67.4237442,Mow
292,67.4237442,Mow
293,133.2953186,Mow
294,111.8653412,Mow
295,122.5186234,Mow
296,112.891304,Mow
297,101.6643143,Mow
298,95.05735016,Mow
299,95.05735016,Mow
300,124.2853622,Mow
301,117.9722519,Mow
302,112.9949875,Mow
303,133.378418,Mow
304,134.9683533,Mow
305,119.8463058,Mow
306,136.6406555,Mow
307,138.0680237,Mow
308,102.3449402,Mow
309,118.9443512,Mow
310,124.6365738,Mow
311,106.2271881,Mow
