"","Yield","Treatment"
"1",179.48747253418,"No-mowing"
"2",166.734283447266,"No-mowing"
"3",161.766937255859,"No-mowing"
"4",158.887542724609,"No-mowing"
"5",188.594573974609,"No-mowing"
"6",205.056030273438,"No-mowing"
"7",194.964599609375,"No-mowing"
"8",202.618621826172,"No-mowing"
"9",187.897155761719,"No-mowing"
"10",154.750686645508,"No-mowing"
"11",132.203308105469,"No-mowing"
"12",145.03955078125,"No-mowing"
"13",153.922058105469,"No-mowing"
"14",194.509979248047,"No-mowing"
"15",194.292236328125,"No-mowing"
"16",138.911437988281,"No-mowing"
"17",143.768081665039,"No-mowing"
"18",143.768081665039,"No-mowing"
"19",142.833831787109,"No-mowing"
"20",158.44482421875,"No-mowing"
"21",144.42463684082,"No-mowing"
"22",159.944747924805,"No-mowing"
"23",140.770233154297,"No-mowing"
"24",105.748504638672,"No-mowing"
"25",87.7518081665039,"No-mowing"
"26",95.2705078125,"No-mowing"
"27",107.197685241699,"No-mowing"
"28",98.3136672973633,"No-mowing"
"29",111.250457763672,"No-mowing"
"30",108.921951293945,"No-mowing"
"31",122.117538452148,"No-mowing"
"32",131.044189453125,"No-mowing"
"33",116.65544128418,"No-mowing"
"34",104.226577758789,"No-mowing"
"35",104.226577758789,"No-mowing"
"36",100.040344238281,"No-mowing"
"37",106.887428283691,"No-mowing"
"38",132.112121582031,"No-mowing"
"39",118.698959350586,"No-mowing"
"40",100.889999389648,"No-mowing"
"41",116.732864379883,"No-mowing"
"42",123.273284912109,"No-mowing"
"43",98.5050964355469,"No-mowing"
"44",87.4220886230469,"No-mowing"
"45",89.9246520996094,"No-mowing"
"46",85.3855285644531,"No-mowing"
"47",90.4737548828125,"No-mowing"
"48",73.3974151611328,"No-mowing"
"49",76.1980438232422,"No-mowing"
"50",84.3948593139648,"No-mowing"
"51",96.5177307128906,"No-mowing"
"52",119.203186035156,"No-mowing"
"53",101.406471252441,"No-mowing"
"54",100.953544616699,"No-mowing"
"55",113.007019042969,"No-mowing"
"56",121.576881408691,"No-mowing"
"57",100.411148071289,"No-mowing"
"58",123.685256958008,"No-mowing"
"59",91.8398513793945,"No-mowing"
"60",103.119598388672,"No-mowing"
"61",103.119598388672,"No-mowing"
"62",134.492553710938,"No-mowing"
"63",138.717727661133,"No-mowing"
"64",135.736953735352,"No-mowing"
"65",92.9370422363281,"No-mowing"
"66",109.930938720703,"No-mowing"
"67",103.443511962891,"No-mowing"
"68",108.59984588623,"No-mowing"
"69",114.229972839355,"No-mowing"
"70",147.618392944336,"No-mowing"
"71",157.118286132812,"No-mowing"
"72",166.347091674805,"No-mowing"
"73",132.630889892578,"No-mowing"
"74",94.7463989257812,"No-mowing"
"75",92.7229385375977,"No-mowing"
"76",122.582695007324,"No-mowing"
"77",97.3347625732422,"No-mowing"
"78",126.607421875,"No-mowing"
"79",94.4076843261719,"No-mowing"
"80",117.958831787109,"No-mowing"
"81",125.445442199707,"No-mowing"
"82",135.478302001953,"No-mowing"
"83",93.9810485839844,"No-mowing"
"84",102.382209777832,"No-mowing"
"85",99.1568603515625,"No-mowing"
"86",120.740158081055,"No-mowing"
"87",130.227264404297,"No-mowing"
"88",82.6156463623047,"No-mowing"
"89",75.7644958496094,"No-mowing"
"90",104.246971130371,"No-mowing"
"91",111.871780395508,"No-mowing"
"92",130.712982177734,"No-mowing"
"93",120.487869262695,"No-mowing"
"94",117.982543945312,"No-mowing"
"95",94.6608123779297,"No-mowing"
"96",120.794235229492,"No-mowing"
"97",98.0081329345703,"No-mowing"
"98",67.4237442016602,"No-mowing"
