FarmName,FieldName,SampleID,SampleType,SampleDate_CN,TotalC_pct,TotalN_pct,x,y,Treatment
,,,,,,,,,
Porter,G7,1,CoverCrop,5/22/25,46.218,3.052,-76.7213577,42.56669029,NoCut
,,,,,,,,,
Porter,G7,2,CoverCrop,5/22/25,46.433,3.474,-76.72098401,42.56642695,NoCut
,,,,,,,,,
Porter,G7,3,CoverCrop,5/22/25,46.165,3.654,-76.72049702,42.56652794,NoCut
,,,,,,,,,
Porter,G7,4,CoverCrop,5/22/25,46.767,3.834,-76.72040665,42.56636753,NoCut
,,,,,,,,,
Porter,G7,5,CoverCrop,5/22/25,46.397,3.2,-76.7197522,42.56643979,NoCut
,,,,,,,,,
Porter,G7,6,CoverCrop,5/22/25,46.736,3.844,-76.71910311,42.56653066,NoCut
,,,,,,,,,
Porter,G7,7,CoverCrop,5/22/25,46.985,3.388,-76.71987558,42.5660168,NoCut
,,,,,,,,,
Porter,G7,8,CoverCrop,5/22/25,46.342,3.147,-76.72119924,42.56597096,NoCut
,,,,,,,,,
Porter,G7,9,CoverCrop,5/22/25,46.12,2.904,-76.72140444,42.56606841,NoCut
,,,,,,,,,
Porter,G7,10,CoverCrop,5/22/25,45.833,2.282,-76.71917754,42.56558393,NoCutNoCorn
,,,,,,,,,
Porter,G7,11,CoverCrop,5/22/25,46.435,2.589,-76.7195249,42.56522071,NoCutNoCorn
,,,,,,,,,
Porter,G7,12,CoverCrop,5/22/25,45.36,2.891,-76.71935322,42.56474584,NoCutNoCorn
,,,,,,,,,
Porter,G7,13,CoverCrop,5/22/25,46.564,3.19,-76.72003383,42.56511871,NoCutNoCorn
,,,,,,,,,
Porter,G7,14,CoverCrop,5/22/25,47.133,2.41,-76.72031201,42.56541526,NoCutNoCorn
,,,,,,,,,
Porter,G7,15,CoverCrop,5/22/25,46.859,2.563,-76.72004993,42.56555035,NoCutNoCorn
,,,,,,,,,
Porter,G7,16,CoverCrop,5/22/25,45.938,2.815,-76.72053058,42.56463434,NoCutNoCorn
,,,,,,,,,
Porter,G7,17,CoverCrop,5/22/25,46.528,3.201,-76.7207014,42.56494202,NoCutNoCorn
,,,,,,,,,
Porter,G7,18,CoverCrop,5/22/25,47.144,3.147,-76.72145158,42.56472472,NoCutNoCorn
,,,,,,,,,
Porter,G7,19,CoverCrop,5/22/25,47.362,3.054,-76.72133192,42.56545675,NoCutNoCorn
,,,,,,,,,
Porter,G7,20,CoverCrop,5/22/25,46.562,2.705,-76.72164671,42.56562306,NoCutNoCorn
,,,,,,,,,
Benson,Kolb2,1,MaizeBiomass,7/18/25,45.869,2.039,-76.43047135,42.63607617,NoCover
,,,,,,,,,
Benson,Kolb2,2,MaizeBiomass,7/18/25,45.576,2.589,-76.42975538,42.63615977,Control
,,,,,,,,,
Benson,Kolb2,3,MaizeBiomass,7/18/25,45.648,2.283,-76.42844808,42.6362027,Control
,,,,,,,,,
Benson,Kolb2,4,MaizeBiomass,7/18/25,46.646,2.071,-76.42756788,42.63620909,Control
,,,,,,,,,
