FarmName,FieldName,SampleID,SampleDate_CSNT,CSNT_ppm
,,,,
CURC,16,Control,9/17/25,1457
,,,,
CURC,16,Treatment,9/17/25,818
,,,,
villnave,3,Control,9/10/25,79
,,,,
villnave,3,Treatment,9/10/25,938
,,,,
PORTER,G7,Control,10/27/25,661
,,,,
PORTER,G7,Treatment,10/27/25,771
,,,,
BENSON,KOLB2,Control,10/27/25,74
,,,,
BENSON,KOLB2,Treatment,10/27/25,57
,,,,
BRANTON,302-3,1E,11/4/25,933
,,,,
BRANTON,302-3,2E,11/4/25,62
,,,,
BRANTON,302-3,3E,11/4/25,946
,,,,
BRANTON,302-3,4E,11/4/25,158
,,,,
BRANTON,302-3,5E,11/4/25,1792
,,,,
BRANTON,302-3,6E,11/4/25,1322
,,,,
BRANTON,302-3,7E,11/4/25,662
,,,,
BRANTON,302-3,8E,11/4/25,70
,,,,
BRANTON,302-3,9E,11/4/25,425
,,,,
BRANTON,302-3,10E,11/4/25,58
,,,,
BRANTON,302-3,1W,11/4/25,68
,,,,
BRANTON,302-3,2W,11/4/25,69
,,,,
BRANTON,302-3,3W,11/4/25,585
,,,,
BRANTON,302-3,4W,11/4/25,549
,,,,
BRANTON,302-3,5W,11/4/25,94
,,,,
BRANTON,302-3,6W,11/4/25,341
,,,,
BRANTON,302-3,7W,11/4/25,71
,,,,
BRANTON,302-3,8W,11/4/25,75
,,,,
BRANTON,302-3,9W,11/4/25,211
,,,,
BRANTON,302-3,10W,11/4/25,136
,,,,
MACAULEY,NTRIALS,1E,11/7/25,2394
,,,,
MACAULEY,NTRIALS,2E,11/7/25,4773
,,,,
MACAULEY,NTRIALS,3E,11/7/25,4785
,,,,
MACAULEY,NTRIALS,4E,11/7/25,764
,,,,
MACAULEY,NTRIALS,5E,11/7/25,79
,,,,
MACAULEY,NTRIALS,6E,11/7/25,1696
,,,,
MACAULEY,NTRIALS,7E,11/7/25,6172
,,,,
MACAULEY,NTRIALS,8E,11/7/25,9565
,,,,
MACAULEY,NTRIALS,9E,11/7/25,3969
,,,,
MACAULEY,NTRIALS,10E,11/7/25,6039
,,,,
MACAULEY,NTRIALS,11E,11/7/25,4655
,,,,
MACAULEY,NTRIALS,12E,11/7/25,944
,,,,
MACAULEY,NTRIALS,13E,11/7/25,11349
,,,,
MACAULEY,NTRIALS,14E,11/7/25,7102
,,,,
MACAULEY,NTRIALS,15E,11/7/25,556
,,,,
MACAULEY,NTRIALS,16E,11/7/25,6410
,,,,
MACAULEY,NTRIALS,1W,11/7/25,373
,,,,
MACAULEY,NTRIALS,2W,11/7/25,4557
,,,,
MACAULEY,NTRIALS,3W,11/7/25,6353
,,,,
MACAULEY,NTRIALS,4W,11/7/25,5183
,,,,
MACAULEY,NTRIALS,5W,11/7/25,203
,,,,
MACAULEY,NTRIALS,6W,11/7/25,105
,,,,
MACAULEY,NTRIALS,7W,11/7/25,1425
,,,,
MACAULEY,NTRIALS,8W,11/7/25,5196
,,,,
MACAULEY,NTRIALS,9W,11/7/25,5673
,,,,
MACAULEY,NTRIALS,10W,11/7/25,9598
,,,,
MACAULEY,NTRIALS,11W,11/7/25,8105
,,,,
MACAULEY,NTRIALS,12W,11/7/25,1284
,,,,
MACAULEY,NTRIALS,13W,11/7/25,10187
,,,,
MACAULEY,NTRIALS,14W,11/7/25,7939
,,,,
MACAULEY,NTRIALS,15W,11/7/25,3311
,,,,
MACAULEY,NTRIALS,16W,11/7/25,9759
