date,field,group,meas,treatment,leaf,chl,flav,anth,nbi
2025-07-17,villnave,1,16,Control,leaf2,42.873,0.44,0.327,97.39
2025-07-17,villnave,1,15,Control,leaf1,34.859,0.516,0.36,67.49
2025-07-17,villnave,1,14,Control,leaf2,22.031,0.677,0.396,32.53
2025-07-17,villnave,1,13,Control,leaf1,21.683,0.65,0.41,33.35
2025-07-17,villnave,1,12,Control,leaf2,38.356,0.519,0.359,73.95
2025-07-17,villnave,1,11,Control,leaf1,26.529,0.568,0.347,46.7
2025-07-17,villnave,1,8,Control,leaf2,23.661,0.652,0.388,36.29
2025-07-17,villnave,1,7,Control,leaf1,20.557,0.488,0.394,42.1
2025-07-17,villnave,1,10,Control,leaf2,32.917,0.676,0.388,48.68
2025-07-17,villnave,1,9,Control,leaf1,26.71,0.805,0.292,33.18
2025-07-17,villnave,1,6,Control,leaf2,25.233,0.856,0.367,29.48
2025-07-17,villnave,1,5,Control,leaf1,23.784,0.7,0.39,33.95
2025-07-17,villnave,1,2,Control,leaf2,27.166,0.696,0.397,39.06
2025-07-17,villnave,1,1,Control,leaf1,25.975,0.48,0.352,54.12
2025-07-17,villnave,1,4,Control,leaf2,22.277,1.546,0.357,14.41
2025-07-17,villnave,1,3,Control,leaf1,20.66,0.64,0.384,32.31
2025-07-17,villnave,1,18,Control,leaf2,31.048,0.464,0.377,66.92
2025-07-17,villnave,1,17,Control,leaf1,25.858,0.663,0.379,39.01
2025-07-17,villnave,1,20,Control,leaf2,37.544,1.114,0.33,33.7
2025-07-17,villnave,1,19,Control,leaf1,34.877,0.634,0.341,55
2025-07-17,villnave,1,22,Control,leaf2,37.733,0.578,0.342,65.28
2025-07-17,villnave,1,21,Control,leaf1,36.026,0.656,0.266,54.95
2025-07-17,villnave,1,30,Control,leaf2,36.006,0.711,0.327,50.64
2025-07-17,villnave,1,29,Control,leaf1,24.627,0.565,0.42,43.61
2025-07-17,villnave,1,28,Control,leaf2,28.901,0.555,0.365,52.08
2025-07-17,villnave,1,27,Control,leaf1,29.577,0.485,0.361,61.02
2025-07-17,villnave,1,32,Control,leaf2,33.41,0.55,0.375,60.71
2025-07-17,villnave,1,31,Control,leaf1,31.618,0.574,0.351,55.08
2025-07-17,villnave,1,24,Control,leaf2,38.491,0.482,0.337,79.87
2025-07-17,villnave,1,23,Control,leaf1,28.429,0.473,0.41,60.13
2025-07-17,villnave,1,26,Control,leaf2,45.948,0.576,0.29,79.81
2025-07-17,villnave,1,25,Control,leaf1,45.729,0.574,0.338,79.71
2025-07-17,villnave,1,86,Control,leaf2,47.666,0.419,0.336,113.78
2025-07-17,villnave,1,85,Control,leaf1,29.115,0.489,0.379,59.49
2025-07-17,villnave,1,88,Control,leaf2,40.897,0.48,0.334,85.21
2025-07-17,villnave,1,87,Control,leaf1,29.074,0.412,0.319,70.51
2025-07-17,villnave,1,90,Control,leaf2,37.215,0.449,0.265,82.97
2025-07-17,villnave,1,89,Control,leaf1,36.98,0.499,0.351,74.04
2025-07-17,villnave,1,129,Control,leaf1,33.02,0.634,0.377,52.07
2025-07-17,villnave,1,130,Control,leaf2,39.756,0.556,0.342,71.46
2025-07-17,villnave,1,131,Control,leaf1,30.229,0.551,0.244,54.89
2025-07-17,villnave,1,132,Control,leaf2,30.515,0.541,0.34,56.44
2025-07-17,villnave,1,135,Control,leaf1,25.775,0.404,0.398,63.86
2025-07-17,villnave,1,136,Control,leaf2,34.49,0.329,0.375,104.83
2025-07-17,villnave,1,133,Control,leaf1,27.49,0.538,0.366,51.08
2025-07-17,villnave,1,134,Control,leaf2,36.583,0.564,0.327,64.88
2025-07-17,villnave,1,137,Control,leaf1,23.549,0.408,0.404,57.68
2025-07-17,villnave,1,138,Control,leaf2,32.33,0.429,0.38,75.33
2025-07-17,villnave,1,139,Control,leaf1,34.212,0.518,0.336,66.06
2025-07-17,villnave,1,140,Control,leaf2,43.963,0.684,0.313,64.28
2025-07-17,villnave,1,141,Control,leaf1,32.291,0.452,0.352,71.38
2025-07-17,villnave,1,142,Control,leaf2,37.692,0.444,0.24,84.87
2025-07-17,villnave,1,144,Control,leaf2,43.664,0.321,0.365,135.94
2025-07-17,villnave,1,143,Control,leaf1,34.743,0.403,0.363,86.19
2025-07-17,villnave,1,146,Control,leaf2,38.507,0.532,0.339,72.32
2025-07-17,villnave,1,145,Control,leaf1,34.548,0.472,0.359,73.27
2025-07-17,villnave,1,147,Control,leaf1,27.838,0.517,0.375,53.82
2025-07-17,villnave,1,148,Control,leaf2,33.366,0.484,0.359,68.98
2025-07-17,villnave,1,188,Control,leaf2,38.099,0.382,0.183,99.78
2025-07-17,villnave,1,187,Control,leaf1,41.021,0.614,0.285,66.78
2025-07-17,villnave,1,167,Control,leaf1,32.203,0.331,0.383,97.16
2025-07-17,villnave,1,168,Control,leaf2,30.244,0.244,NA,123.86
2025-07-17,villnave,1,157,Control,leaf1,32.265,0.478,NA,67.47
2025-07-17,villnave,1,158,Control,leaf2,42.769,0.38,0.273,112.55
2025-07-17,villnave,1,169,Control,leaf1,24.075,0.574,0.4,41.91
2025-07-17,villnave,1,170,Control,leaf2,30.899,0.594,0.34,51.98
2025-07-17,villnave,1,165,Control,leaf1,32.646,0.411,0.368,79.53
2025-07-17,villnave,1,166,Control,leaf2,40.018,0.472,0.342,84.83
2025-07-17,villnave,1,163,Control,leaf1,35.239,0.461,0.301,76.39
2025-07-17,villnave,1,164,Control,leaf2,34.309,0.386,0.195,88.92
2025-07-17,villnave,1,186,Control,leaf2,31.444,0.42,0.354,74.84
2025-07-17,villnave,1,185,Control,leaf1,34.569,0.54,0.358,64.01
2025-07-17,villnave,1,161,Control,leaf1,28.187,0.287,0.361,98.37
2025-07-17,villnave,1,162,Control,leaf2,45.234,0.524,0.179,86.34
2025-07-17,villnave,1,157,Control,leaf1,32.265,0.478,NA,67.47
2025-07-17,villnave,1,158,Control,leaf2,42.769,0.38,0.273,112.55
2025-07-17,villnave,1,159,Control,leaf1,34.774,0.366,0.365,95.01
